更新至0707,#genre#
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/ipanda1000_2/index.m3u8
虎牙,#genre#

电影_星爷,http://mmitv.top/pltv/huya.php?id=11342412
电影_英叔,http://mmitv.top/pltv/huya.php?id=11342421
电影_发哥,http://mmitv.top/pltv/huya.php?id=11342387
电影_成龙,http://mmitv.top/pltv/huya.php?id=11342386
电影_王晶,http://mmitv.top/pltv/huya.php?id=11602058
电影_沈腾,http://mmitv.top/pltv/huya.php?id=11601968
电影_黄渤,http://mmitv.top/pltv/huya.php?id=11352876
电影_强森,http://mmitv.top/pltv/huya.php?id=21059581
电影_漫威,http://mmitv.top/pltv/huya.php?id=11602034
电影_宇宙,http://mmitv.top/pltv/huya.php?id=11342428
电影_怪兽,http://mmitv.top/pltv/huya.php?id=21059577
电影_武侠,http://mmitv.top/pltv/huya.php?id=11342427
电影_警匪,http://mmitv.top/pltv/huya.php?id=11352886
电影_罪犯,http://mmitv.top/pltv/huya.php?id=11352962
电影_枪战,http://mmitv.top/pltv/huya.php?id=21059579
电影_海盗,http://mmitv.top/pltv/huya.php?id=21059595
电影_赛车,http://mmitv.top/pltv/huya.php?id=11279247
电影_推荐,http://mmitv.top/pltv/huya.php?id=11602041
电影_救援,http://mmitv.top/pltv/huya.php?id=21059594
电影_热血,http://mmitv.top/pltv/huya.php?id=11352934
电影_盗墓,http://mmitv.top/pltv/huya.php?id=21059552
电影_贺岁,http://mmitv.top/pltv/huya.php?id=11601971
电影_玄幻,http://mmitv.top/pltv/huya.php?id=11342414
电影_谍战,http://mmitv.top/pltv/huya.php?id=21059585
电影_战争,http://mmitv.top/pltv/huya.php?id=21059592
电影_喜剧,http://mmitv.top/pltv/huya.php?id=11352877
电影_港片,http://mmitv.top/pltv/huya.php?id=11602043
电影_国产,http://mmitv.top/pltv/huya.php?id=11352973
电影_周星星,http://mmitv.top/pltv/huya.php?id=11336587
电影_李连杰,http://mmitv.top/pltv/huya.php?id=11342390
电影_洪金宝,http://mmitv.top/pltv/huya.php?id=11279251
电影_梁家辉,http://mmitv.top/pltv/huya.php?id=11342429
电影_许冠英,http://mmitv.top/pltv/huya.php?id=11601972
电影_刘德华,http://mmitv.top/pltv/huya.php?id=11342424
电影_斯坦森,http://mmitv.top/pltv/huya.php?id=21059588
电影_小鬼头,http://mmitv.top/pltv/huya.php?id=11352963
电影_八点档,http://mmitv.top/pltv/huya.php?id=880261
电影_蜘蛛侠,http://mmitv.top/pltv/huya.php?id=21059599
电影_贺岁片,http://mmitv.top/pltv/huya.php?id=11601986
电影_功夫片,http://mmitv.top/pltv/huya.php?id=11352941
电影_黑帮片,http://mmitv.top/pltv/huya.php?id=11336719
电影_丧尸片,http://mmitv.top/pltv/huya.php?id=21059578
电影_灾难片,http://mmitv.top/pltv/huya.php?id=11602075
电影_谍战片,http://mmitv.top/pltv/huya.php?id=21059587
电影_战争片,http://mmitv.top/pltv/huya.php?id=21059574
电影_犯罪片,http://mmitv.top/pltv/huya.php?id=11352974
电影_古装片,http://mmitv.top/pltv/huya.php?id=11336590
电影_高分动作,http://mmitv.top/pltv/huya.php?id=11352884
电影_动作电影,http://mmitv.top/pltv/huya.php?id=11602077
